horizon_hours,candidate_rank,model_name,decision_threshold,period_type,period,rows,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,pr_auc
1,1,hist_gradient_boosting_classifier,0.7,overall,overall,8760,598,584,0.9497716894977168,0.6352739726027398,0.6204013377926422,0.6277495769881557,0.6675408798257298
1,1,hist_gradient_boosting_classifier,0.7,month,2024-01,744,153,173,0.8978494623655914,0.7225433526011561,0.8169934640522876,0.7668711656441718,0.8480405738798319
1,1,hist_gradient_boosting_classifier,0.7,month,2024-02,696,68,69,0.9382183908045977,0.6811594202898551,0.6911764705882353,0.6861313868613139,0.7066934580847378
1,1,hist_gradient_boosting_classifier,0.7,month,2024-03,744,43,52,0.9368279569892473,0.46153846153846156,0.5581395348837209,0.5052631578947369,0.5475298884633472
1,1,hist_gradient_boosting_classifier,0.7,month,2024-04,720,47,50,0.9347222222222222,0.5,0.5319148936170213,0.5154639175257731,0.590177144222871
1,1,hist_gradient_boosting_classifier,0.7,month,2024-05,744,14,3,0.9798387096774194,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.1562349119455619
1,1,hist_gradient_boosting_classifier,0.7,month,2024-06,720,14,1,0.9791666666666666,0.0,0.0,0.0,0.10857830957461574
1,1,hist_gradient_boosting_classifier,0.7,month,2024-07,744,92,96,0.946236559139785,0.7708333333333334,0.8043478260869565,0.7872340425531915,0.822031836477313
1,1,hist_gradient_boosting_classifier,0.7,month,2024-08,744,14,3,0.9798387096774194,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.1476213265792117
1,1,hist_gradient_boosting_classifier,0.7,month,2024-09,720,34,23,0.9625,0.6521739130434783,0.4411764705882353,0.5263157894736842,0.6008516224783054
1,1,hist_gradient_boosting_classifier,0.7,month,2024-10,744,48,31,0.9368279569892473,0.5161290322580645,0.3333333333333333,0.4050632911392405,0.4872774366040989
1,1,hist_gradient_boosting_classifier,0.7,month,2024-11,720,68,82,0.9111111111111111,0.524390243902439,0.6323529411764706,0.5733333333333334,0.6059626120323773
1,1,hist_gradient_boosting_classifier,0.7,month,2024-12,720,3,1,0.9944444444444445,0.0,0.0,0.0,0.2553191489361702
1,1,hist_gradient_boosting_classifier,0.7,quarter,2024Q1,2184,264,294,0.923992673992674,0.6666666666666666,0.7424242424242424,0.7025089605734767,0.7674199899117916
1,1,hist_gradient_boosting_classifier,0.7,quarter,2024Q2,2184,75,54,0.9647435897435898,0.48148148148148145,0.3466666666666667,0.40310077519379844,0.42412363400061737
1,1,hist_gradient_boosting_classifier,0.7,quarter,2024Q3,2208,140,122,0.9628623188405797,0.7377049180327869,0.6428571428571429,0.6870229007633588,0.7079145659879785
1,1,hist_gradient_boosting_classifier,0.7,quarter,2024Q4,2184,119,114,0.9473443223443223,0.5175438596491229,0.4957983193277311,0.5064377682403434,0.5489829638692028
1,2,random_forest_classifier_tuned,0.65,overall,overall,8760,598,603,0.9482876712328767,0.6202321724709784,0.6254180602006689,0.6228143213988343,0.6609538726182717
1,2,random_forest_classifier_tuned,0.65,month,2024-01,744,153,179,0.8924731182795699,0.7039106145251397,0.8235294117647058,0.7590361445783133,0.8359280130391074
1,2,random_forest_classifier_tuned,0.65,month,2024-02,696,68,69,0.9324712643678161,0.6521739130434783,0.6617647058823529,0.656934306569343,0.6905955903557616
1,2,random_forest_classifier_tuned,0.65,month,2024-03,744,43,50,0.9341397849462365,0.44,0.5116279069767442,0.4731182795698925,0.5056073709887852
1,2,random_forest_classifier_tuned,0.65,month,2024-04,720,47,42,0.9430555555555555,0.5714285714285714,0.5106382978723404,0.5393258426966292,0.5600162275671363
1,2,random_forest_classifier_tuned,0.65,month,2024-05,744,14,3,0.9798387096774194,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.14119538398731388
1,2,random_forest_classifier_tuned,0.65,month,2024-06,720,14,7,0.9736111111111111,0.14285714285714285,0.07142857142857142,0.09523809523809523,0.12742902957422217
1,2,random_forest_classifier_tuned,0.65,month,2024-07,744,92,89,0.9368279569892473,0.7528089887640449,0.7282608695652174,0.7403314917127072,0.837271411649339
1,2,random_forest_classifier_tuned,0.65,month,2024-08,744,14,7,0.9744623655913979,0.14285714285714285,0.07142857142857142,0.09523809523809523,0.14508411261096765
1,2,random_forest_classifier_tuned,0.65,month,2024-09,720,34,25,0.9652777777777778,0.68,0.5,0.576271186440678,0.5813962366424847
1,2,random_forest_classifier_tuned,0.65,month,2024-10,744,48,40,0.9354838709677419,0.5,0.4166666666666667,0.45454545454545453,0.49110528922117913
1,2,random_forest_classifier_tuned,0.65,month,2024-11,720,68,91,0.9180555555555555,0.5494505494505495,0.7352941176470589,0.6289308176100629,0.6036255318844629
1,2,random_forest_classifier_tuned,0.65,month,2024-12,720,3,1,0.9944444444444445,0.0,0.0,0.0,0.1595655806182122
1,2,random_forest_classifier_tuned,0.65,quarter,2024Q1,2184,264,298,0.9194139194139194,0.6476510067114094,0.7310606060606061,0.6868327402135231,0.7472537532143626
1,2,random_forest_classifier_tuned,0.65,quarter,2024Q2,2184,75,52,0.9656593406593407,0.5,0.3466666666666667,0.4094488188976378,0.4095543812402914
1,2,random_forest_classifier_tuned,0.65,quarter,2024Q3,2208,140,121,0.958786231884058,0.7024793388429752,0.6071428571428571,0.6513409961685823,0.7183471537889413
1,2,random_forest_classifier_tuned,0.65,quarter,2024Q4,2184,119,132,0.9491758241758241,0.5303030303030303,0.5882352941176471,0.5577689243027888,0.5393678993500879
3,1,hist_gradient_boosting_classifier_tuned,0.65,overall,overall,8760,598,599,0.9339041095890411,0.5158597662771286,0.5167224080267558,0.5162907268170426,0.5064341117778688
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-01,744,153,176,0.8508064516129032,0.6193181818181818,0.7124183006535948,0.662613981762918,0.7512216615905057
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-02,696,69,92,0.9037356321839081,0.5108695652173914,0.6811594202898551,0.5838509316770186,0.48088963745064633
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-03,744,42,52,0.9274193548387096,0.38461538461538464,0.47619047619047616,0.425531914893617,0.3860318225315406
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-04,720,48,41,0.9263888888888889,0.43902439024390244,0.375,0.4044943820224719,0.36103306139742714
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-05,744,13,1,0.9838709677419355,1.0,0.07692307692307693,0.14285714285714285,0.1027003503199091
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-06,720,14,0,0.9805555555555555,0.0,0.0,0.0,0.03770779556079364
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-07,744,92,94,0.9166666666666666,0.6595744680851063,0.6739130434782609,0.6666666666666666,0.6989008591342223
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-08,744,14,0,0.9811827956989247,0.0,0.0,0.0,0.06515530555427518
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-09,720,35,9,0.9472222222222222,0.3333333333333333,0.08571428571428572,0.13636363636363635,0.21527906269618705
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-10,744,47,35,0.9193548387096774,0.3142857142857143,0.23404255319148937,0.2682926829268293,0.2344939805131854
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-11,720,68,99,0.8736111111111111,0.3838383838383838,0.5588235294117647,0.4550898203592814,0.41404883578079565
3,1,hist_gradient_boosting_classifier_tuned,0.65,month,2024-12,720,3,0,0.9958333333333333,0.0,0.0,0.0,0.0109031739843676
3,1,hist_gradient_boosting_classifier_tuned,0.65,quarter,2024Q1,2184,264,320,0.8937728937728938,0.55,0.6666666666666666,0.6027397260273972,0.6439068317936106
3,1,hist_gradient_boosting_classifier_tuned,0.65,quarter,2024Q2,2184,75,42,0.9638278388278388,0.4523809523809524,0.25333333333333335,0.3247863247863248,0.2471505222734389
3,1,hist_gradient_boosting_classifier_tuned,0.65,quarter,2024Q3,2208,141,103,0.9483695652173914,0.6310679611650486,0.46099290780141844,0.5327868852459017,0.539243672021925
3,1,hist_gradient_boosting_classifier_tuned,0.65,quarter,2024Q4,2184,118,134,0.9294871794871795,0.3656716417910448,0.4152542372881356,0.3888888888888889,0.3199332304787812
3,2,hist_gradient_boosting_classifier,0.55,overall,overall,8760,598,702,0.9271689497716895,0.47150997150997154,0.5535117056856187,0.5092307692307693,0.4965639399956084
3,2,hist_gradient_boosting_classifier,0.55,month,2024-01,744,153,205,0.8440860215053764,0.5902439024390244,0.7908496732026143,0.6759776536312849,0.7324058934081086
3,2,hist_gradient_boosting_classifier,0.55,month,2024-02,696,69,108,0.8778735632183908,0.42592592592592593,0.6666666666666666,0.519774011299435,0.48404829815844935
3,2,hist_gradient_boosting_classifier,0.55,month,2024-03,744,42,65,0.9099462365591398,0.3076923076923077,0.47619047619047616,0.37383177570093457,0.4218854846925403
3,2,hist_gradient_boosting_classifier,0.55,month,2024-04,720,48,51,0.9152777777777777,0.37254901960784315,0.3958333333333333,0.3838383838383838,0.3568954966406595
