period,horizon_hours,recommended_quantile,avoid_iqr_multiplier,row_count,exact_agreement_rate,false_recommended_rate,false_avoid_rate,predicted_recommended_rate,predicted_acceptable_rate,predicted_avoid_rate
calibration_2025,1,0.1000,1.5000,8040,0.7876,0.0030,0.0531,0.0103,0.8902,0.0995
holdout_2026,1,0.1000,1.5000,4344,0.7682,0.0002,0.0338,0.0002,0.9349,0.0649
calibration_2025,1,0.1000,2.0000,8040,0.8026,0.0030,0.0437,0.0103,0.9121,0.0776
holdout_2026,1,0.1000,2.0000,4344,0.7802,0.0002,0.0283,0.0002,0.9461,0.0536
calibration_2025,1,0.1000,2.5000,8040,0.8133,0.0030,0.0383,0.0103,0.9236,0.0660
holdout_2026,1,0.1000,2.5000,4344,0.7919,0.0002,0.0193,0.0002,0.9583,0.0414
calibration_2025,1,0.1000,3.0000,8040,0.8225,0.0030,0.0318,0.0103,0.9338,0.0558
holdout_2026,1,0.1000,3.0000,4344,0.7947,0.0002,0.0170,0.0002,0.9648,0.0350
calibration_2025,1,0.1500,1.5000,8040,0.7606,0.0052,0.0531,0.0266,0.8739,0.0995
holdout_2026,1,0.1500,1.5000,4344,0.7422,0.0005,0.0338,0.0062,0.9289,0.0649
calibration_2025,1,0.1500,2.0000,8040,0.7756,0.0052,0.0437,0.0266,0.8958,0.0776
holdout_2026,1,0.1500,2.0000,4344,0.7539,0.0005,0.0283,0.0062,0.9401,0.0536
calibration_2025,1,0.1500,2.5000,8040,0.7862,0.0052,0.0383,0.0266,0.9073,0.0660
holdout_2026,1,0.1500,2.5000,4344,0.7654,0.0005,0.0193,0.0062,0.9523,0.0414
calibration_2025,1,0.1500,3.0000,8040,0.7951,0.0052,0.0318,0.0266,0.9175,0.0558
holdout_2026,1,0.1500,3.0000,4344,0.7682,0.0005,0.0170,0.0062,0.9588,0.0350
calibration_2025,1,0.2000,1.5000,8040,0.7238,0.0068,0.0531,0.0437,0.8568,0.0995
holdout_2026,1,0.2000,1.5000,4344,0.7139,0.0021,0.0338,0.0262,0.9088,0.0649
calibration_2025,1,0.2000,2.0000,8040,0.7386,0.0068,0.0437,0.0437,0.8787,0.0776
holdout_2026,1,0.2000,2.0000,4344,0.7254,0.0021,0.0283,0.0262,0.9201,0.0536
calibration_2025,1,0.2000,2.5000,8040,0.7486,0.0068,0.0383,0.0437,0.8903,0.0660
holdout_2026,1,0.2000,2.5000,4344,0.7366,0.0021,0.0193,0.0262,0.9323,0.0414
calibration_2025,1,0.2000,3.0000,8040,0.7576,0.0068,0.0318,0.0437,0.9005,0.0558
holdout_2026,1,0.2000,3.0000,4344,0.7394,0.0021,0.0170,0.0262,0.9388,0.0350
calibration_2025,1,0.2500,1.5000,8040,0.7024,0.0097,0.0531,0.0731,0.8274,0.0995
holdout_2026,1,0.2500,1.5000,4344,0.6975,0.0046,0.0338,0.0559,0.8791,0.0649
calibration_2025,1,0.2500,2.0000,8040,0.7169,0.0097,0.0437,0.0731,0.8493,0.0776
holdout_2026,1,0.2500,2.0000,4344,0.7090,0.0046,0.0283,0.0559,0.8904,0.0536
calibration_2025,1,0.2500,2.5000,8040,0.7267,0.0097,0.0383,0.0731,0.8608,0.0660
holdout_2026,1,0.2500,2.5000,4344,0.7198,0.0046,0.0193,0.0559,0.9026,0.0414
calibration_2025,1,0.2500,3.0000,8040,0.7356,0.0097,0.0318,0.0731,0.8710,0.0558
holdout_2026,1,0.2500,3.0000,4344,0.7226,0.0046,0.0170,0.0559,0.9091,0.0350
calibration_2025,3,0.1000,1.5000,8040,0.7097,0.0034,0.1265,0.0065,0.8256,0.1679
holdout_2026,3,0.1000,1.5000,4344,0.5990,0.0000,0.2231,0.0000,0.7507,0.2493
calibration_2025,3,0.1000,2.0000,8040,0.7367,0.0034,0.1014,0.0065,0.8641,0.1295
holdout_2026,3,0.1000,2.0000,4344,0.6510,0.0000,0.1664,0.0000,0.8151,0.1849
calibration_2025,3,0.1000,2.5000,8040,0.7588,0.0034,0.0822,0.0065,0.8904,0.1031
holdout_2026,3,0.1000,2.5000,4344,0.6844,0.0000,0.1264,0.0000,0.8575,0.1425
calibration_2025,3,0.1000,3.0000,8040,0.7750,0.0034,0.0682,0.0065,0.9087,0.0848
holdout_2026,3,0.1000,3.0000,4344,0.7088,0.0000,0.1013,0.0000,0.8847,0.1153
calibration_2025,3,0.1500,1.5000,8040,0.6760,0.0036,0.1265,0.0100,0.8221,0.1679
holdout_2026,3,0.1500,1.5000,4344,0.5695,0.0000,0.2231,0.0000,0.7507,0.2493
calibration_2025,3,0.1500,2.0000,8040,0.7024,0.0036,0.1014,0.0100,0.8606,0.1295
holdout_2026,3,0.1500,2.0000,4344,0.6202,0.0000,0.1664,0.0000,0.8151,0.1849
calibration_2025,3,0.1500,2.5000,8040,0.7244,0.0036,0.0822,0.0100,0.8869,0.1031
holdout_2026,3,0.1500,2.5000,4344,0.6526,0.0000,0.1264,0.0000,0.8575,0.1425
calibration_2025,3,0.1500,3.0000,8040,0.7403,0.0036,0.0682,0.0100,0.9052,0.0848
holdout_2026,3,0.1500,3.0000,4344,0.6768,0.0000,0.1013,0.0000,0.8847,0.1153
calibration_2025,3,0.2000,1.5000,8040,0.6345,0.0052,0.1265,0.0185,0.8136,0.1679
holdout_2026,3,0.2000,1.5000,4344,0.5334,0.0002,0.2231,0.0009,0.7498,0.2493
calibration_2025,3,0.2000,2.0000,8040,0.6591,0.0052,0.1014,0.0185,0.8520,0.1295
holdout_2026,3,0.2000,2.0000,4344,0.5815,0.0002,0.1664,0.0009,0.8142,0.1849
calibration_2025,3,0.2000,2.5000,8040,0.6805,0.0052,0.0822,0.0185,0.8784,0.1031
holdout_2026,3,0.2000,2.5000,4344,0.6116,0.0002,0.1264,0.0009,0.8566,0.1425
calibration_2025,3,0.2000,3.0000,8040,0.6958,0.0052,0.0682,0.0185,0.8966,0.0848
holdout_2026,3,0.2000,3.0000,4344,0.6344,0.0002,0.1013,0.0009,0.8837,0.1153
calibration_2025,3,0.2500,1.5000,8040,0.6016,0.0086,0.1265,0.0351,0.7970,0.1679
holdout_2026,3,0.2500,1.5000,4344,0.5039,0.0005,0.2231,0.0023,0.7484,0.2493
calibration_2025,3,0.2500,2.0000,8040,0.6257,0.0086,0.1014,0.0351,0.8354,0.1295
holdout_2026,3,0.2500,2.0000,4344,0.5474,0.0005,0.1664,0.0023,0.8128,0.1849
calibration_2025,3,0.2500,2.5000,8040,0.6461,0.0086,0.0822,0.0351,0.8618,0.1031
holdout_2026,3,0.2500,2.5000,4344,0.5760,0.0005,0.1264,0.0023,0.8552,0.1425
calibration_2025,3,0.2500,3.0000,8040,0.6607,0.0086,0.0682,0.0351,0.8801,0.0848
holdout_2026,3,0.2500,3.0000,4344,0.5967,0.0005,0.1013,0.0023,0.8824,0.1153
calibration_2025,6,0.1000,1.5000,8040,0.6581,0.0101,0.1724,0.0165,0.7772,0.2062
holdout_2026,6,0.1000,1.5000,4344,0.6717,0.0048,0.1241,0.0076,0.8522,0.1402
calibration_2025,6,0.1000,2.0000,8040,0.7085,0.0101,0.1235,0.0165,0.8394,0.1440
holdout_2026,6,0.1000,2.0000,4344,0.7254,0.0048,0.0711,0.0076,0.9107,0.0817
calibration_2025,6,0.1000,2.5000,8040,0.7396,0.0101,0.0951,0.0165,0.8744,0.1091
holdout_2026,6,0.1000,2.5000,4344,0.7518,0.0048,0.0458,0.0076,0.9392,0.0532
calibration_2025,6,0.1000,3.0000,8040,0.7597,0.0101,0.0757,0.0165,0.8974,0.0861
holdout_2026,6,0.1000,3.0000,4344,0.7629,0.0048,0.0364,0.0076,0.9500,0.0424
calibration_2025,6,0.1500,1.5000,8040,0.6272,0.0122,0.1724,0.0230,0.7708,0.2062
holdout_2026,6,0.1500,1.5000,4344,0.6432,0.0067,0.1241,0.0127,0.8471,0.1402
calibration_2025,6,0.1500,2.0000,8040,0.6764,0.0122,0.1235,0.0230,0.8330,0.1440
holdout_2026,6,0.1500,2.0000,4344,0.6959,0.0067,0.0711,0.0127,0.9056,0.0817
calibration_2025,6,0.1500,2.5000,8040,0.7063,0.0122,0.0951,0.0230,0.8679,0.1091
holdout_2026,6,0.1500,2.5000,4344,0.7219,0.0067,0.0458,0.0127,0.9342,0.0532
calibration_2025,6,0.1500,3.0000,8040,0.7257,0.0122,0.0757,0.0230,0.8909,0.0861
holdout_2026,6,0.1500,3.0000,4344,0.7327,0.0067,0.0364,0.0127,0.9450,0.0424
calibration_2025,6,0.2000,1.5000,8040,0.5859,0.0150,0.1724,0.0332,0.7606,0.2062
holdout_2026,6,0.2000,1.5000,4344,0.6068,0.0101,0.1241,0.0233,0.8366,0.1402
calibration_2025,6,0.2000,2.0000,8040,0.6330,0.0150,0.1235,0.0332,0.8228,0.1440
holdout_2026,6,0.2000,2.0000,4344,0.6575,0.0101,0.0711,0.0233,0.8950,0.0817
calibration_2025,6,0.2000,2.5000,8040,0.6616,0.0150,0.0951,0.0332,0.8577,0.1091
holdout_2026,6,0.2000,2.5000,4344,0.6821,0.0101,0.0458,0.0233,0.9236,0.0532
calibration_2025,6,0.2000,3.0000,8040,0.6805,0.0150,0.0757,0.0332,0.8807,0.0861
holdout_2026,6,0.2000,3.0000,4344,0.6929,0.0101,0.0364,0.0233,0.9344,0.0424
calibration_2025,6,0.2500,1.5000,8040,0.5504,0.0190,0.1724,0.0450,0.7488,0.2062
holdout_2026,6,0.2500,1.5000,4344,0.5718,0.0159,0.1241,0.0366,0.8232,0.1402
calibration_2025,6,0.2500,2.0000,8040,0.5950,0.0190,0.1235,0.0450,0.8109,0.1440
holdout_2026,6,0.2500,2.0000,4344,0.6215,0.0159,0.0711,0.0366,0.8817,0.0817
calibration_2025,6,0.2500,2.5000,8040,0.6220,0.0190,0.0951,0.0450,0.8459,0.1091
holdout_2026,6,0.2500,2.5000,4344,0.6457,0.0159,0.0458,0.0366,0.9102,0.0532
calibration_2025,6,0.2500,3.0000,8040,0.6393,0.0190,0.0757,0.0450,0.8689,0.0861
holdout_2026,6,0.2500,3.0000,4344,0.6565,0.0159,0.0364,0.0366,0.9210,0.0424
calibration_2025,12,0.1000,1.5000,8040,0.6216,0.0132,0.2177,0.0160,0.7315,0.2525
holdout_2026,12,0.1000,1.5000,4344,0.6321,0.0062,0.1809,0.0083,0.7912,0.2005
calibration_2025,12,0.1000,2.0000,8040,0.6868,0.0132,0.1495,0.0160,0.8112,0.1728
holdout_2026,12,0.1000,2.0000,4344,0.6964,0.0062,0.1052,0.0083,0.8771,0.1146
calibration_2025,12,0.1000,2.5000,8040,0.7238,0.0132,0.1108,0.0160,0.8577,0.1262
holdout_2026,12,0.1000,2.5000,4344,0.7339,0.0062,0.0656,0.0083,0.9199,0.0718
calibration_2025,12,0.1000,3.0000,8040,0.7474,0.0132,0.0877,0.0160,0.8846,0.0994
holdout_2026,12,0.1000,3.0000,4344,0.7548,0.0062,0.0447,0.0083,0.9422,0.0495
calibration_2025,12,0.1500,1.5000,8040,0.5907,0.0160,0.2177,0.0221,0.7254,0.2525
holdout_2026,12,0.1500,1.5000,4344,0.6052,0.0064,0.1809,0.0090,0.7905,0.2005
calibration_2025,12,0.1500,2.0000,8040,0.6539,0.0160,0.1495,0.0221,0.8051,0.1728
holdout_2026,12,0.1500,2.0000,4344,0.6676,0.0064,0.1052,0.0090,0.8764,0.1146
