reference_time,window_hours,row_count,coverage_rate,minimum,mean,median,q1,q3,iqr,iqr_threshold,maximum
2020-01-31 00:00:00+00:00,72,72,1.0000,25.6600,41.1704,34.7600,34.5275,36.1350,1.6075,38.5462,383.4000
2020-01-31 00:00:00+00:00,168,168,1.0000,25.0300,36.8850,34.7350,31.6175,36.5300,4.9125,43.8988,383.4000
2020-01-31 00:00:00+00:00,336,336,1.0000,24.9400,52.2310,34.7900,31.6175,37.4075,5.7900,46.0925,995.4600
2020-01-31 00:00:00+00:00,720,714,0.9917,24.9400,124.4101,35.6000,32.8700,42.4425,9.5725,56.8013,999.9900
2020-02-29 00:00:00+00:00,72,72,1.0000,22.7300,32.8694,32.5900,29.8400,34.2900,4.4500,40.9650,53.7100
2020-02-29 00:00:00+00:00,168,168,1.0000,22.7300,34.4024,33.4750,30.3900,34.5050,4.1150,40.6775,79.9900
2020-02-29 00:00:00+00:00,336,336,1.0000,22.7300,40.3847,34.0450,31.1475,35.1100,3.9625,41.0537,672.8700
2020-02-29 00:00:00+00:00,720,720,1.0000,19.4600,36.1374,33.4600,29.9925,34.6200,4.6275,41.5612,672.8700
2020-03-31 00:00:00+00:00,72,72,1.0000,18.0800,39.7894,33.2200,28.9950,34.8275,5.8325,43.5763,442.0300
2020-03-31 00:00:00+00:00,168,168,1.0000,18.0800,38.4735,33.2000,30.8700,35.7300,4.8600,43.0200,442.0300
2020-03-31 00:00:00+00:00,336,336,1.0000,18.0800,46.4616,33.5300,32.5100,37.8650,5.3550,45.8975,742.5000
2020-03-31 00:00:00+00:00,720,720,1.0000,18.0800,42.6121,34.5800,32.7775,37.9375,5.1600,45.6775,742.5000
2020-04-30 00:00:00+00:00,72,72,1.0000,15.5000,26.3189,28.6950,20.9125,29.6125,8.7000,42.6625,34.7900
2020-04-30 00:00:00+00:00,168,168,1.0000,13.2500,27.5608,29.4600,23.7600,32.2400,8.4800,44.9600,35.4000
2020-04-30 00:00:00+00:00,336,336,1.0000,0.0000,27.9286,29.5200,25.5500,33.0100,7.4600,44.2000,35.4900
2020-04-30 00:00:00+00:00,720,720,1.0000,0.0000,29.1675,29.5700,27.9175,33.2900,5.3725,41.3487,43.4400
2020-05-31 00:00:00+00:00,72,72,1.0000,8.4400,27.4092,29.8100,22.6950,30.5950,7.9000,42.4450,39.9100
2020-05-31 00:00:00+00:00,168,168,1.0000,0.0000,24.7607,28.6800,19.1725,31.8875,12.7150,50.9600,39.9100
2020-05-31 00:00:00+00:00,336,336,1.0000,0.0000,25.4673,29.0300,20.2850,31.7250,11.4400,48.8850,39.9100
2020-05-31 00:00:00+00:00,720,720,1.0000,0.0000,26.5115,29.0150,23.5475,30.8025,7.2550,41.6850,39.9100
2020-06-30 00:00:00+00:00,72,72,1.0000,13.3400,25.3513,26.6000,21.0275,29.4400,8.4125,42.0587,33.4200
2020-06-30 00:00:00+00:00,168,168,1.0000,0.0000,31.5221,28.9750,23.2300,33.5025,10.2725,48.9112,108.8500
2020-06-30 00:00:00+00:00,336,336,1.0000,0.0000,39.3412,31.6400,26.9500,34.9925,8.0425,47.0562,438.9800
2020-06-30 00:00:00+00:00,720,720,1.0000,0.0000,34.4134,30.1100,23.7825,33.8625,10.0800,48.9825,438.9800
2020-07-31 00:00:00+00:00,72,72,1.0000,21.7500,208.6371,36.5150,29.4775,427.9750,398.4975,1025.7213,779.7800
2020-07-31 00:00:00+00:00,168,168,1.0000,16.4600,119.8782,31.6750,29.4325,37.0450,7.6125,48.4638,779.7800
2020-07-31 00:00:00+00:00,336,336,1.0000,6.5900,80.4874,31.1750,28.8750,36.8425,7.9675,48.7938,779.7800
2020-07-31 00:00:00+00:00,720,720,1.0000,0.0000,52.4141,30.0550,25.2175,34.5775,9.3600,48.6175,779.7800
2020-08-31 00:00:00+00:00,72,72,1.0000,1.2700,28.1626,29.6250,23.7425,34.0450,10.3025,49.4988,37.7600
2020-08-31 00:00:00+00:00,168,168,1.0000,1.2700,32.7620,30.1650,26.4425,34.6600,8.2175,46.9862,177.0500
2020-08-31 00:00:00+00:00,336,336,1.0000,1.2700,44.7392,31.5050,28.7325,36.4875,7.7550,48.1200,716.1900
