model_name,task,horizon_hours,split,evaluation_rows,model_parameters,mae,rmse,accuracy,precision,recall,f1,pr_auc,notes
naive_baseline,regression,1,validation,8760,prediction_column=actual_price_lag_1h,35.78535388127854,96.45558199486454,,,,,,Previous hour price baseline evaluated on the chronological validation split.
linear_regression,regression,1,validation,8760,fit_intercept=True,33.748567235771446,80.37777635569884,,,,,,Linear Regression trained on the chronological train set.
ridge_regression,regression,1,validation,8760,alpha=1.0,33.74855983682518,80.3777710836964,,,,,,Ridge Regression trained on the chronological train set.
ridge_regression_tuned,regression,1,validation,8760,best_alpha=100.0; cv_splits=3; cv_mae=57.965884; cv_rmse=113.461637,33.74785653545321,80.37726722451512,,,,,,Ridge alpha selected with TimeSeriesSplit on the chronological train set.
lasso_regression,regression,1,validation,8760,alpha=1.0; max_iter=10000,33.64415353712882,80.34503526027896,,,,,,Lasso Regression trained on the chronological train set.
lasso_regression_tuned,regression,1,validation,8760,best_alpha=10.0; max_iter=10000; cv_splits=3; cv_mae=57.846479; cv_rmse=113.489226,33.38365760429035,80.2967874362499,,,,,,Lasso alpha selected with TimeSeriesSplit on the chronological train set.
elastic_net_regression,regression,1,validation,8760,alpha=1.0; l1_ratio=0.5; max_iter=10000,33.633400164201454,80.34086544385681,,,,,,Elastic Net Regression trained on the chronological train set.
elastic_net_regression_tuned,regression,1,validation,8760,alpha=1.0; l1_ratio=0.5; max_iter=10000; cv_splits=3; cv_mae=57.920148; cv_rmse=113.467240,33.633400164201454,80.34086544385681,,,,,,Elastic Net parameters selected with TimeSeriesSplit on the chronological train set.
random_forest_regressor,regression,1,validation,8760,n_estimators=100; max_depth=None; min_samples_leaf=1; random_state=42; n_jobs=-1,36.72461807077625,81.9779775841391,,,,,,Random Forest Regressor trained on the chronological train set.
random_forest_regressor_tuned,regression,1,validation,8760,n_estimators=100; max_depth=10; min_samples_leaf=1; random_state=42; n_jobs=-1; cv_splits=3; cv_mae=60.888658; cv_rmse=113.420800,33.903569750404706,79.76712606619897,,,,,,Random Forest parameters selected with TimeSeriesSplit on the chronological train set.
