method,horizon_hours,target_column,threshold,split,row_count,spike_count,non_spike_count,spike_rate
iqr,1,actual_price_target_1h,165.1,train,39944,5447,34497,0.13636591227718806
iqr,1,actual_price_target_1h,165.1,validation,8559,289,8270,0.033765626825563735
iqr,1,actual_price_target_1h,165.1,test,8560,274,8286,0.032009345794392526
q95,1,actual_price_target_1h,486.25099999999964,train,39944,1998,37946,0.050020028039254955
q95,1,actual_price_target_1h,486.25099999999964,validation,8559,106,8453,0.012384624372006076
q95,1,actual_price_target_1h,486.25099999999964,test,8560,135,8425,0.015771028037383176
q99,1,actual_price_target_1h,861.3539999999999,train,39944,400,39544,0.01001401962747847
q99,1,actual_price_target_1h,861.3539999999999,validation,8559,34,8525,0.00397242668536044
q99,1,actual_price_target_1h,861.3539999999999,test,8560,50,8510,0.005841121495327103
iqr,3,actual_price_target_3h,165.1,train,39944,5447,34497,0.13636591227718806
iqr,3,actual_price_target_3h,165.1,validation,8559,289,8270,0.033765626825563735
iqr,3,actual_price_target_3h,165.1,test,8560,274,8286,0.032009345794392526
q95,3,actual_price_target_3h,486.25099999999964,train,39944,1998,37946,0.050020028039254955
q95,3,actual_price_target_3h,486.25099999999964,validation,8559,106,8453,0.012384624372006076
q95,3,actual_price_target_3h,486.25099999999964,test,8560,135,8425,0.015771028037383176
q99,3,actual_price_target_3h,861.3539999999999,train,39944,400,39544,0.01001401962747847
q99,3,actual_price_target_3h,861.3539999999999,validation,8559,34,8525,0.00397242668536044
q99,3,actual_price_target_3h,861.3539999999999,test,8560,50,8510,0.005841121495327103
iqr,6,actual_price_target_6h,165.1,train,39944,5447,34497,0.13636591227718806
iqr,6,actual_price_target_6h,165.1,validation,8559,289,8270,0.033765626825563735
iqr,6,actual_price_target_6h,165.1,test,8560,274,8286,0.032009345794392526
q95,6,actual_price_target_6h,486.25099999999964,train,39944,1998,37946,0.050020028039254955
q95,6,actual_price_target_6h,486.25099999999964,validation,8559,106,8453,0.012384624372006076
q95,6,actual_price_target_6h,486.25099999999964,test,8560,135,8425,0.015771028037383176
q99,6,actual_price_target_6h,861.3539999999999,train,39944,400,39544,0.01001401962747847
q99,6,actual_price_target_6h,861.3539999999999,validation,8559,34,8525,0.00397242668536044
q99,6,actual_price_target_6h,861.3539999999999,test,8560,50,8510,0.005841121495327103
iqr,12,actual_price_target_12h,165.1,train,39944,5447,34497,0.13636591227718806
iqr,12,actual_price_target_12h,165.1,validation,8559,289,8270,0.033765626825563735
iqr,12,actual_price_target_12h,165.1,test,8560,274,8286,0.032009345794392526
q95,12,actual_price_target_12h,486.25099999999964,train,39944,1998,37946,0.050020028039254955
q95,12,actual_price_target_12h,486.25099999999964,validation,8559,106,8453,0.012384624372006076
q95,12,actual_price_target_12h,486.25099999999964,test,8560,135,8425,0.015771028037383176
q99,12,actual_price_target_12h,861.3539999999999,train,39944,400,39544,0.01001401962747847
q99,12,actual_price_target_12h,861.3539999999999,validation,8559,34,8525,0.00397242668536044
q99,12,actual_price_target_12h,861.3539999999999,test,8560,50,8510,0.005841121495327103
iqr,24,actual_price_target_24h,165.1,train,39944,5446,34498,0.13634087722811936
iqr,24,actual_price_target_24h,165.1,validation,8559,289,8270,0.033765626825563735
iqr,24,actual_price_target_24h,165.1,test,8560,274,8286,0.032009345794392526
q95,24,actual_price_target_24h,486.25099999999964,train,39944,1998,37946,0.050020028039254955
q95,24,actual_price_target_24h,486.25099999999964,validation,8559,106,8453,0.012384624372006076
q95,24,actual_price_target_24h,486.25099999999964,test,8560,135,8425,0.015771028037383176
q99,24,actual_price_target_24h,861.3539999999999,train,39944,400,39544,0.01001401962747847
q99,24,actual_price_target_24h,861.3539999999999,validation,8559,34,8525,0.00397242668536044
q99,24,actual_price_target_24h,861.3539999999999,test,8560,50,8510,0.005841121495327103
